model,prompt_strategy,task,file,complexity,validation_status,schema_pass_rate,correct,partial,missing,hallucinated,total_ground_truth,total_predicted,precision,recall,completeness,hallucination_rate,cbs,structural_fidelity,avg_semantic,timestamp
openai/gpt-4.1-mini,naive,structure,VSCBEX01,medium,valid,1,2,6,3,9,11,17,0.1176,0.1818,0.7273,0.5294,0.2749,1.0,,2026-07-15T10:23:41.795682Z
meta-llama/llama-3.1-8b-instruct,naive,structure,VSCBEX01,medium,valid,1,0,0,11,13,11,13,0.0,0.0,0.0,1.0,0.0,0.0,,2026-07-15T10:25:55.976444Z
qwen/qwen-2.5-72b-instruct,naive,structure,VSCBEX01,medium,valid,1,0,8,3,5,11,13,0.0,0.0,0.7273,0.3846,0.1958,0.0,,2026-07-15T10:26:22.755494Z
openai/gpt-4.1-mini,structured,structure,VSCBEX01,medium,valid,1,3,6,2,6,11,15,0.2,0.2727,0.8182,0.4,0.3709,0.6667,,2026-07-15T10:26:40.932233Z
meta-llama/llama-3.1-8b-instruct,structured,structure,VSCBEX01,medium,valid,1,0,0,11,15,11,15,0.0,0.0,0.0,1.0,0.0,0.0,,2026-07-15T10:28:35.884564Z
qwen/qwen-2.5-72b-instruct,structured,structure,VSCBEX01,medium,valid,1,0,3,8,26,11,29,0.0,0.0,0.2727,0.8966,0.048,0.0,,2026-07-15T10:30:55.509157Z
openai/gpt-4.1-mini,few_shot,structure,VSCBEX01,medium,valid,1,2,7,2,13,11,22,0.0909,0.1818,0.8182,0.5909,0.2636,0.0,,2026-07-15T10:31:11.729153Z
meta-llama/llama-3.1-8b-instruct,few_shot,structure,VSCBEX01,medium,error,0,0,0,11,0,11,0,0.0,0.0,0.0,0.0,0.2,0.0,,2026-07-15T10:49:59.785900Z
qwen/qwen-2.5-72b-instruct,few_shot,structure,VSCBEX01,medium,valid,1,0,6,5,19,11,25,0.0,0.0,0.5455,0.76,0.1025,0.0,,2026-07-15T10:51:15.644856Z
openai/gpt-4.1-mini,cot_hidden,structure,VSCBEX01,medium,valid,1,6,3,2,8,11,17,0.3529,0.5455,0.8182,0.4706,0.5118,0.3333,,2026-07-15T10:51:31.327841Z
meta-llama/llama-3.1-8b-instruct,cot_hidden,structure,VSCBEX01,medium,error,0,0,0,11,0,11,0,0.0,0.0,0.0,0.0,0.2,0.0,,2026-07-15T10:59:01.452570Z
qwen/qwen-2.5-72b-instruct,cot_hidden,structure,VSCBEX01,medium,valid,1,0,8,3,6,11,14,0.0,0.0,0.7273,0.4286,0.187,0.0,,2026-07-15T10:59:50.364310Z
openai/gpt-4.1-mini,naive,business,VSCBEX01,medium,valid,1,0,0,10,6,10,6,0.0,0.0,0.0,1.0,0.0,,0.0,2026-07-15T10:59:59.178856Z
meta-llama/llama-3.1-8b-instruct,naive,business,VSCBEX01,medium,valid,1,0,0,10,7,10,7,0.0,0.0,0.0,1.0,0.0,,0.0,2026-07-15T11:04:28.239982Z
qwen/qwen-2.5-72b-instruct,naive,business,VSCBEX01,medium,valid,1,0,3,7,3,10,6,0.0,0.0,0.3,0.5,0.13,,0.1232,2026-07-15T11:05:37.748196Z
openai/gpt-4.1-mini,structured,business,VSCBEX01,medium,valid,1,0,2,8,5,10,7,0.0,0.0,0.2,0.7143,0.0771,,0.0857,2026-07-15T11:05:50.324276Z
meta-llama/llama-3.1-8b-instruct,structured,business,VSCBEX01,medium,valid,1,0,0,10,5,10,5,0.0,0.0,0.0,1.0,0.0,,0.0,2026-07-15T11:07:46.736601Z
qwen/qwen-2.5-72b-instruct,structured,business,VSCBEX01,medium,valid,1,0,4,6,5,10,9,0.0,0.0,0.4,0.5556,0.1289,,0.2035,2026-07-15T11:08:43.102921Z
openai/gpt-4.1-mini,few_shot,business,VSCBEX01,medium,valid,1,0,1,9,5,10,6,0.0,0.0,0.1,0.8333,0.0433,,0.0606,2026-07-15T11:08:56.821772Z
meta-llama/llama-3.1-8b-instruct,few_shot,business,VSCBEX01,medium,valid,1,0,0,10,3,10,3,0.0,0.0,0.0,1.0,0.0,,0.0,2026-07-15T11:09:37.915145Z
qwen/qwen-2.5-72b-instruct,few_shot,business,VSCBEX01,medium,valid,1,0,2,8,6,10,8,0.0,0.0,0.2,0.75,0.07,,0.1642,2026-07-15T11:10:11.174867Z
openai/gpt-4.1-mini,cot_hidden,business,VSCBEX01,medium,valid,1,0,2,8,3,10,5,0.0,0.0,0.2,0.6,0.1,,0.0738,2026-07-15T11:10:24.715448Z
meta-llama/llama-3.1-8b-instruct,cot_hidden,business,VSCBEX01,medium,valid,1,0,0,10,4,10,4,0.0,0.0,0.0,1.0,0.0,,0.0,2026-07-15T11:11:44.609044Z
qwen/qwen-2.5-72b-instruct,cot_hidden,business,VSCBEX01,medium,valid,1,0,1,9,5,10,6,0.0,0.0,0.1,0.8333,0.0433,,0.08,2026-07-15T11:12:36.850011Z
